speed_trap_s1_max,speed_trap_s2_max,speed_trap_fl_max,speed_trap_st_max,fastest_s1_seconds,fastest_s2_seconds,fastest_s3_seconds,fastest_lap_seconds,driver,team,qualifying_time_seconds,year,round,year_round
246.0,266.0,288.0,322.0,28.945,39.897,22.928,91.77,ALO,Alpine,90.249,2021,1,2021_1
231.0,259.0,285.0,293.0,24.39,26.365,25.411,76.186,ALO,Alpine,75.593,2021,2,2021_2
287.0,193.0,301.0,334.0,22.826,30.236,25.673,78.735,ALO,Alpine,79.456,2021,3,2021_3
281.0,304.0,285.0,327.0,22.09,29.365,26.907,78.518,ALO,Alpine,78.147,2021,4,2021_4
218.0,200.0,269.0,282.0,19.138,34.148,19.449,73.175,ALO,Alpine,72.205,2021,5,2021_5
224.0,237.0,358.0,324.0,36.004,41.456,25.014,102.693,ALO,Alpine,102.327,2021,6,2021_6
122.0,277.0,301.0,332.0,23.056,28.008,41.56,92.624,ALO,Alpine,91.34,2021,7,2021_7
317.0,244.0,287.0,316.0,16.531,28.887,19.982,65.4,ALO,Alpine,64.574,2021,8,2021_8
315.0,246.0,284.0,310.0,16.568,28.913,19.82,65.393,ALO,Alpine,64.856,2021,9,2021_9
313.0,264.0,251.0,329.0,28.295,36.086,24.323,88.873,ALO,Alpine,87.245,2021,10,2021_10
277.0,249.0,257.0,304.0,28.285,27.626,22.04,77.992,ALO,Alpine,76.715,2021,11,2021_11
333.0,208.0,226.0,308.0,30.579,45.556,28.818,104.953,ALO,Alpine,118.205,2021,12,2021_12
277.0,287.0,308.0,315.0,24.586,24.253,21.831,70.67,ALO,Alpine,69.956,2021,13,2021_13
321.0,333.0,315.0,341.0,27.122,27.421,27.289,81.926,ALO,Alpine,81.069,2021,14,2021_14
265.0,318.0,174.0,316.0,34.83,32.525,27.351,94.762,ALO,Alpine,104.204,2021,15,2021_15
283.0,291.0,248.0,330.0,31.159,30.176,23.325,84.66,ALO,Alpine,83.477,2021,16,2021_16
229.0,190.0,212.0,320.0,25.82,38.539,31.758,96.376,ALO,Alpine,104.549,2021,17,2021_17
314.0,293.0,252.0,359.0,27.537,30.27,20.432,78.732,ALO,Alpine,78.452,2021,18,2021_18
321.0,264.0,328.0,325.0,18.058,35.753,16.311,70.201,ALO,Alpine,69.113,2021,19,2021_19
250.0,279.0,320.0,337.0,27.15,27.818,28.132,83.186,ALO,Alpine,81.67,2021,20,2021_20
291.0,315.0,308.0,322.0,32.512,28.559,28.236,89.418,ALO,Alpine,88.92,2021,21,2021_21
289.0,318.0,226.0,325.0,17.307,36.336,30.549,84.225,ALO,Alpine,83.46,2021,22,2021_22
